Record_ID,NCBI_GeneID,Gene_Symbol,Chromosome,Gene_Type,Sample_ID,Tissue,Condition,Expression_Level,Expression_Log2,Fold_Change,Significance_PValue,Expression_Category
1,1,A1BG,,NCBI-derived gene type,S0001,Brain,Control,641.23,9.325,0.668,0.0001962,High
2,2,A2M,,NCBI-derived gene type,S0002,Liver,Control,227.09,7.827,1.166,0.0151526,Medium
3,3,A2MP1,,NCBI-derived gene type,S0003,Heart,Control,892.72,9.802,0.711,0.0009617,High
4,9,NAT1,,NCBI-derived gene type,S0004,Lung,Control,34.65,5.115,0.803,0.0023723,Low
5,10,NAT2,,NCBI-derived gene type,S0005,Kidney,Control,31.4,4.973,0.789,0.0113359,Low
6,11,NATP,,NCBI-derived gene type,S0006,Muscle,Control,547.22,9.096,0.804,0.0058823,High
7,12,SERPINA3,,NCBI-derived gene type,S0007,Blood,Control,810.38,9.662,0.655,0.0612845,High
8,13,AADAC,,NCBI-derived gene type,S0008,Colon,Control,699.65,9.45,0.888,5.38e-05,High
9,14,AAMP,,NCBI-derived gene type,S0009,Breast,Control,957.43,9.903,0.886,2.73e-05,High
10,15,AANAT,,NCBI-derived gene type,S0010,Skin,Control,101.23,6.662,1.243,0.0068788,Medium
11,16,AARS,,NCBI-derived gene type,S0011,Brain,Treatment,2140.36,11.064,2.649,0.0033134,High
12,17,AAVS1,,NCBI-derived gene type,S0012,Liver,Treatment,1501.12,10.552,1.542,0.0039318,High
13,18,ABAT,,NCBI-derived gene type,S0013,Heart,Treatment,1908.21,10.898,2.298,0.1122076,High
14,19,ABCA1,,NCBI-derived gene type,S0014,Lung,Treatment,1488.88,10.54,2.569,1.64e-05,High
15,20,ABCA2,,NCBI-derived gene type,S0015,Kidney,Treatment,292.38,8.192,1.262,2.37e-05,Medium
16,21,ABCA3,,NCBI-derived gene type,S0016,Muscle,Treatment,158.1,7.305,0.668,0.0002025,Medium
17,22,ABCB7,,NCBI-derived gene type,S0017,Blood,Treatment,955.76,9.901,1.499,0.0005494,High
